,0
1,0.002752893965366746
2,0.002517766195796657
3,0.0021805219391354755
4,0.0015547923906627913
5,0.0010690221544173391
6,0.000909012301211838
7,0.000797916787509347
8,0.0006768951429311092
9,0.0006199307234568885
10,0.0005691933625868161
11,0.0004385857928617804
12,0.0004201640877554633
13,0.00033681642654159044
14,0.00032794089264716656
15,0.00027122986885123114
16,0.0002606207436018687
17,0.00024377377792145894
18,0.0002307490999093031
19,0.00018815029875054665
20,0.00016742574892436148
21,0.0001644531526631994
22,0.00014736790141286487
23,0.00014189008228720517
24,0.0001336465777745329
25,0.00012865223991214962
26,0.00011020037847636006
27,0.00010641659064576489
28,9.523960143056499e-05
29,9.05035175025799e-05
30,7.929053280607227e-05
31,6.907030468958862e-05
32,6.531146474208402e-05
33,6.224434954816535e-05
34,6.064441896689886e-05
35,5.7000729786205936e-05
36,5.4312234709957305e-05
37,4.743674111542673e-05
38,4.2103806541507524e-05
39,4.109356332679684e-05
40,3.90881296104225e-05
41,3.510938011701267e-05
42,2.9330907915011458e-05
43,2.7945646964924546e-05
44,2.5989456230315616e-05
45,2.1560510497057123e-05
46,1.9872647184935196e-05
47,1.7822901752333757e-05
48,1.432095360499644e-05
49,1.0301431658714058e-05
50,7.4750514020833314e-06
51,3.880821722122701e-06
52,1.5248411289368558e-06
53,9.708694310771665e-07
54,9.340677906332981e-07
55,6.100150669748692e-07
56,2.299202393432026e-07
57,1.3030484593272502e-07
58,5.572717519308933e-08
59,1.963938689570299e-08
60,1.0169487219883651e-08
61,6.339458751936828e-09
62,1.7575808824996542e-35
63,1.7575808824996542e-35
64,1.730759009448514e-35
