,0,1
0,-40.0,-54.0
1,-16.0,-8.0
2,-62.0,-46.0
3,-30.0,-10.0
4,-38.0,-10.0
5,-46.0,-8.0
6,-36.0,-40.0
7,-30.0,-40.0
8,-62.0,-84.0
9,-60.0,14.0
10,-36.0,-58.0
11,-54.0,-12.0
12,-50.0,-14.0
13,-36.0,-30.0
14,-52.0,-30.0
15,0.0,-48.0
16,-26.0,24.0
17,-20.0,8.0
18,-2.0,-72.0
19,-60.0,20.0
20,-60.0,-32.0
21,-64.0,4.0
22,-46.0,-30.0
23,-54.0,-26.0
24,-64.0,-14.0
25,-8.0,-54.0
26,-46.0,-64.0
27,-46.0,-8.0
28,-46.0,-74.0
29,-78.0,14.0
30,-50.0,-72.0
31,-68.0,38.0
32,-24.0,-16.0
33,-16.0,-34.0
34,-32.0,8.0
35,-10.0,-26.0
36,-44.0,-70.0
37,-56.0,-4.0
38,0.0,-86.0
39,-58.0,-42.0
40,-34.0,-88.0
41,-44.0,-26.0
42,-42.0,-22.0
43,-26.0,-6.0
44,-32.0,-62.0
45,-36.0,42.0
46,-8.0,-70.0
47,-36.0,4.0
48,-34.0,-78.0
49,-44.0,-40.0
50,-18.0,-44.0
51,-62.0,-42.0
52,-32.0,-32.0
53,-38.0,-78.0
54,-48.0,-16.0
55,-58.0,-48.0
56,-42.0,-20.0
57,-42.0,-18.0
58,-36.0,-46.0
59,-36.0,-40.0
60,-48.0,18.0
61,-34.0,-16.0
62,-50.0,12.0
63,-36.0,-34.0
64,-42.0,0.0
65,-36.0,-18.0
66,-34.0,-22.0
67,-34.0,-30.0
68,-30.0,16.0
69,-8.0,-58.0
70,-16.0,12.0
71,-16.0,-10.0
72,-62.0,-64.0
73,-66.0,-14.0
74,-32.0,-16.0
75,-60.0,-28.0
76,-12.0,-74.0
77,-74.0,-14.0
78,-56.0,-72.0
79,-46.0,-74.0
80,-46.0,-18.0
81,-32.0,-40.0
82,-54.0,-38.0
83,-48.0,0.0
84,-48.0,-62.0
85,-18.0,-22.0
86,-36.0,-26.0
87,-18.0,10.0
88,-38.0,-24.0
89,-58.0,-6.0
90,-32.0,-6.0
91,-34.0,-24.0
92,-64.0,-48.0
93,-10.0,-16.0
94,-18.0,8.0
95,-28.0,-60.0
96,-6.0,-120.0
97,-46.0,10.0
98,-48.0,-16.0
99,0.0,-26.0
100,-48.0,6.0
101,-58.0,-54.0
102,-20.0,-30.0
103,0.0,-46.0
104,-20.0,-56.0
105,-62.0,-4.0
106,-46.0,-38.0
107,-48.0,-18.0
108,-30.0,-22.0
109,-16.0,-60.0
110,-16.0,10.0
111,-36.0,12.0
112,-28.0,-24.0
113,-52.0,-34.0
114,-30.0,-80.0
115,-38.0,-46.0
116,-32.0,-58.0
117,0.0,-68.0
118,-30.0,-30.0
119,-64.0,6.0
120,-14.0,-36.0
121,-32.0,-8.0
122,-6.0,-68.0
123,-36.0,-56.0
124,-40.0,-10.0
125,-38.0,-56.0
126,-58.0,-74.0
127,0.0,-88.0
128,-68.0,-54.0
129,0.0,-68.0
130,-50.0,-56.0
131,-64.0,-2.0
132,-26.0,-64.0
133,-14.0,10.0
134,-24.0,4.0
135,-2.0,-76.0
136,-32.0,-48.0
137,-28.0,8.0
138,-26.0,-80.0
139,-66.0,-22.0
140,-60.0,-60.0
141,-58.0,-22.0
142,-12.0,-66.0
143,-56.0,18.0
144,0.0,18.0
145,-8.0,-66.0
146,-46.0,16.0
147,-20.0,20.0
148,-48.0,-76.0
149,-66.0,-16.0
150,-58.0,-52.0
151,-64.0,-16.0
152,-40.0,-32.0
153,-46.0,-6.0
154,-16.0,10.0
155,0.0,-62.0
156,-44.0,-28.0
157,-22.0,-32.0
158,-28.0,-64.0
159,-64.0,-18.0
160,-50.0,-86.0
161,-64.0,8.0
162,-4.0,-62.0
163,0.0,-62.0
164,-30.0,-26.0
165,0.0,-70.0
166,-50.0,-64.0
167,-56.0,-30.0
168,-38.0,-90.0
169,-62.0,-4.0
170,-36.0,-52.0
171,0.0,26.0
172,-64.0,12.0
173,-32.0,-18.0
174,-24.0,-10.0
175,-40.0,-14.0
176,-6.0,-68.0
177,-64.0,-6.0
178,-52.0,-78.0
179,-62.0,-42.0
180,-28.0,-46.0
181,-26.0,-56.0
182,-28.0,10.0
183,-42.0,-80.0
184,-24.0,-80.0
185,-60.0,-46.0
186,-64.0,-2.0
187,-32.0,-40.0
188,-26.0,-56.0
189,-62.0,20.0
190,-52.0,18.0
191,-26.0,-20.0
192,-56.0,0.0
193,-38.0,20.0
194,-6.0,22.0
195,-34.0,-28.0
196,-30.0,-42.0
197,-34.0,-26.0
198,-6.0,6.0
199,-66.0,-8.0
200,-48.0,-6.0
201,-12.0,-58.0
202,-56.0,-56.0
203,-62.0,-28.0
204,0.0,-56.0
205,-28.0,-30.0
206,-32.0,-72.0
207,-22.0,-32.0
208,-56.0,-66.0
209,-64.0,-34.0
210,-64.0,-2.0
211,-30.0,-44.0
212,-34.0,-48.0
213,-54.0,-8.0
214,-14.0,-62.0
215,-70.0,4.0
216,-20.0,4.0
217,-48.0,10.0
218,-66.0,-4.0
219,-38.0,10.0
220,-54.0,-20.0
221,-68.0,-14.0
222,-32.0,-10.0
223,-42.0,-10.0
224,-60.0,-50.0
225,0.0,18.0
226,-48.0,-4.0
227,-56.0,-14.0
228,0.0,14.0
229,-52.0,-76.0
230,0.0,-60.0
231,-42.0,-28.0
232,-34.0,-20.0
233,-64.0,-6.0
234,-30.0,4.0
235,-66.0,-8.0
236,-26.0,-30.0
237,0.0,-68.0
238,-10.0,2.0
239,-4.0,8.0
240,-18.0,10.0
241,-42.0,-88.0
242,-28.0,-70.0
243,-34.0,-84.0
244,-18.0,-56.0
245,0.0,-62.0
246,0.0,-54.0
247,-42.0,24.0
248,-60.0,-64.0
249,-32.0,-60.0
250,-8.0,16.0
251,-64.0,-14.0
252,-58.0,-54.0
253,-58.0,-18.0
254,-64.0,-38.0
255,-48.0,-88.0
256,-28.0,-68.0
257,-8.0,-44.0
258,-46.0,-36.0
259,-32.0,4.0
260,-30.0,10.0
261,-50.0,2.0
262,-22.0,-6.0
263,-30.0,-16.0
264,-34.0,-54.0
265,-26.0,-42.0
266,-36.0,-80.0
267,-32.0,-4.0
268,-56.0,-44.0
269,-38.0,-6.0
270,-30.0,-2.0
271,0.0,-82.0
272,-34.0,12.0
273,-26.0,-24.0
274,-10.0,-58.0
275,-26.0,-54.0
276,-38.0,-54.0
277,-28.0,-40.0
278,-58.0,-62.0
279,-28.0,2.0
280,-26.0,-10.0
281,-26.0,-36.0
282,-24.0,-34.0
283,-30.0,-4.0
284,-24.0,-68.0
285,-58.0,-56.0
286,-28.0,-42.0
287,-56.0,-26.0
288,-30.0,-6.0
289,-26.0,-18.0
290,-30.0,2.0
291,-28.0,2.0
292,-32.0,-64.0
293,-52.0,-52.0
294,-36.0,-66.0
295,-56.0,-28.0
296,-50.0,-74.0
297,-26.0,6.0
298,-2.0,-52.0
299,-20.0,-4.0
300,-30.0,-12.0
301,-46.0,-10.0
302,-22.0,-4.0
303,-58.0,-10.0
304,-30.0,-54.0
305,-38.0,-70.0
306,-36.0,-62.0
307,-16.0,-58.0
308,-32.0,-12.0
309,-48.0,-52.0
310,-38.0,-42.0
311,-38.0,-56.0
312,-64.0,-4.0
313,-58.0,-56.0
314,-32.0,-10.0
315,-34.0,-8.0
316,-46.0,-2.0
317,-34.0,8.0
318,-48.0,8.0
319,-38.0,-2.0
320,-26.0,-14.0
321,-22.0,-8.0
322,-16.0,-8.0
323,-30.0,22.0
324,-14.0,-30.0
325,-30.0,-28.0
326,-8.0,-36.0
327,-18.0,-62.0
328,-42.0,-68.0
329,-28.0,-48.0
330,-26.0,-16.0
331,-44.0,-60.0
332,-52.0,-70.0
333,-42.0,-68.0
334,-46.0,-50.0
335,-38.0,-56.0
336,-4.0,-28.0
337,-18.0,4.0
338,-22.0,6.0
339,-38.0,-4.0
340,-26.0,-72.0
341,-32.0,-36.0
342,-22.0,-4.0
343,-26.0,-18.0
344,-34.0,-12.0
345,-40.0,-22.0
346,-16.0,-22.0
347,-30.0,-26.0
348,-32.0,-32.0
349,-12.0,-22.0
350,-12.0,4.0
351,-38.0,18.0
352,-30.0,-82.0
