,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,2,5,1,6,5,6,5,6,6,6,0,6,2,5
1,6,6,7,6,5,9,7,8,6,5,1,1,6,5
2,6,5,1,6,5,1,6,5,7,0,0,7,9,7
3,2,6,6,1,8,6,8,9,8,9,9,5,7,8
4,5,6,9,8,4,4,6,4,6,6,8,8,3,9
5,5,3,6,7,9,5,4,1,2,9,4,6,1,1
6,8,5,7,5,8,7,0,7,9,9,6,5,8,4
7,8,7,0,4,9,8,8,6,7,9,2,8,4,4
8,3,4,8,8,4,6,6,5,8,5,2,7,7,9
9,7,5,7,5,8,6,5,7,5,9,0,8,5,4
10,8,5,8,7,8,4,6,7,7,9,8,3,3,8
11,7,8,5,0,9,8,4,5,1,4,1,9,8,5
12,1,9,9,7,6,4,8,8,3,6,9,9,1,1
13,6,9,7,8,5,9,8,8,6,0,0,6,6,9
14,6,5,5,6,8,5,1,6,7,7,8,5,7,9
15,5,9,2,3,6,6,7,8,5,5,9,7,8,6
16,9,9,8,7,7,6,6,0,0,5,8,9,1,5
17,0,5,9,9,3,0,5,4,9,7,8,8,1,8
18,1,5,5,7,1,6,2,6,5,0,5,9,5,1
19,4,0,8,4,9,8,1,8,5,4,8,5,9,9
20,1,8,5,6,7,9,7,9,3,8,3,7,7,8
21,9,9,0,0,9,8,1,7,1,8,8,8,9,8
22,9,9,8,9,9,9,4,9,9,5,3,0,4,5
23,9,1,9,9,9,9,6,5,7,7,4,8,9,5
24,7,5,8,1,7,7,8,5,8,4,8,9,8,8
25,9,6,1,5,9,7,7,9,4,8,9,9,9,9
26,9,5,1,9,1,1,6,9,5,5,9,7,3,0
27,7,6,7,8,0,7,7,0,9,9,3,5,8,4
28,6,1,8,9,7,9,7,8,6,8,9,9,9,8
29,9,0,5,8,0,8,8,7,0,8,4,1,9,8
30,8,7,7,7,4,8,7,0,8,9,6,4,5,5
31,9,7,9,9,9,9,7,5,9,8,5,7,5,9
32,9,5,7,5,0,7,9,0,0,9,9,8,5,2
