,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,2,2,8,2,8,2,8,8,8,9,8,0,9
1,8,8,9,8,2,4,4,1,8,2,2,0,8,2
2,8,2,6,8,8,2,8,2,8,3,9,4,9,4
3,0,4,4,2,1,8,4,9,3,3,3,2,9,1
4,2,8,3,1,1,1,8,1,8,8,1,3,5,3
5,2,5,8,4,3,2,4,0,0,3,1,8,6,0
6,4,2,9,2,4,4,9,4,3,3,8,2,1,1
7,3,4,9,1,9,4,1,8,4,3,0,4,1,4
8,5,1,4,4,5,8,8,2,3,2,0,4,3,3
9,9,2,4,2,4,2,2,3,2,9,9,3,0,4
10,3,2,1,3,3,4,8,4,4,3,1,5,5,3
11,4,3,2,9,3,3,1,2,6,4,2,3,3,2
12,2,3,3,9,8,1,1,1,5,8,3,3,6,6
13,2,3,4,1,2,3,1,3,8,9,1,8,8,3
14,8,2,2,8,4,2,6,8,4,4,1,2,4,3
15,2,3,7,5,8,8,4,1,2,2,3,4,1,8
16,3,3,3,4,9,8,8,9,9,2,1,9,6,2
17,9,2,3,3,5,9,2,1,3,4,1,4,6,3
18,6,2,2,4,6,8,0,8,2,9,2,9,2,6
19,1,9,3,4,3,3,6,1,9,1,1,2,3,3
20,2,1,2,8,3,3,4,3,5,1,5,4,4,3
21,3,3,3,9,3,1,6,4,0,1,3,9,3,1
22,3,3,1,3,3,3,1,3,3,2,5,3,4,2
23,4,6,3,3,3,3,2,4,2,4,1,3,3,2
24,4,2,1,6,4,4,4,2,4,1,3,3,3,1
25,3,0,6,2,3,4,4,3,1,1,3,9,3,9
26,3,2,0,3,2,6,8,3,2,2,3,4,5,9
27,4,8,4,3,9,4,3,9,3,3,5,0,3,1
28,8,6,1,3,4,3,3,3,8,3,3,3,3,1
29,3,9,2,9,9,3,3,9,9,1,1,0,3,1
30,1,4,4,4,1,3,4,9,3,3,8,4,2,2
31,3,4,3,3,9,3,4,2,3,1,2,4,2,3
32,9,2,9,2,9,4,3,9,9,9,9,9,2,7
33,9,3,3,8,4,1,0,4,1,9,3,9,4,3
34,9,3,4,8,3,3,4,3,4,5,3,2,4,3
35,9,3,2,3,9,9,4,3,2,2,4,8,4,6
36,5,5,4,4,3,8,4,3,8,3,9,1,2,2
37,4,4,1,6,3,4,1,4,4,3,4,4,4,4
38,3,2,4,2,9,4,1,5,4,4,9,9,4,9
39,3,4,1,1,1,1,9,1,9,9,1,1,9,9
40,9,9,8,6,6,2,9,6,1,11,5,1,2,1
41,6,5,18,6,6,0,18,2,19,6,6,5,6,13
42,7,7,15,18,13,1,11,6,1,6,5,1,6,1
43,1,18,18,18,16,0,18,0,4,2,18,7,1,8
44,18,7,0,8,9,8,1,0,8,1,18,9,15,15
45,15,6,15,18,18,15,8,17,9,5,3,6,7,9
46,5,15,1,2,8,4,18,11,1,8,1,4,5,4
47,18,0,19,9,8,18,1,8,15,7,4,0,15,0
48,4,15,6,4,9,11,8,15,4,3,4,4,8,3
49,18,6,5,7,1,10,7,19,9,0,5,18,1,7
50,5,5,7,5,0,8,8,1,4,8,5,8,7,9
51,4,18,19,7,9,8,17,14,8,7,8,1,0,9
52,9,4,1,1,4,13,9,9,5,1,9,7,0,18
53,15,16,15,3,18,9,9,13,11,5,19,7,15,5
54,8,8,9,2,16,16,6,18,9,18,5,5,18,8
55,5,11,6,7,7,15,5,18,9,1,8,12,3,18
56,18,4,8,1,13,7,7,15,18,9,7,8,7,0
57,6,18,0,0,5,8,0,13,5,0,5,9,9,17
58,0,1,15,9,19,8,7,1,8,11,5,5,7,1
59,6,2,6,5,0,1,0,5,13,4,0,8,4,9
60,7,13,15,5,15,8,5,9,7,1,8,5,18,19
61,9,19,9,3,16,3,7,7,8,9,9,9,8,9
62,15,1,19,1,8,8,16,9,8,9,9,8,9,7
63,9,15,9,9,5,17,16,4,5,7,11,9,8,9
64,9,18,18,18,7,15,9,8,1,7,1,8,13,7
65,19,7,1,7,15,8,7,8,7,9,2,11,18,19
66,19,4,9,15,8,9,0,8,0,9,5,1,8,13
67,13,18,9,5,5,9,7,17,0,7,6,7,8,19
68,4,9,0,19,9,3,1,7,15,18,11,8,9,7
69,19,9,8,6,9,19,7,9,4,7,19,5,8,8
70,8,8,19,0,8,15,1,7,8,8,18,7,19,15
71,8,4,8,9,9,6,4,1,1,9,18,8,9,0
72,9,19,5,9,16,5,4,5,7,0,13,19,5,0
73,7,9,0,0,0,0,0,1,12,0,8,9,19,19
74,15,1,4,8,16,9,16,7,7,19,9,7,18,8
75,9,7,9,7,17,9,1,7,5,0,9,1,9,0
76,0,7,7,1,1,7,6,7,13,17,17,7,4,7
77,6,19,9,18,7,0,8,5,5,4,7,15,13,8
78,7,8,7,7,9,4,7,4,7,9,1,4,1,18
79,4,15,17,4,18,0,0,7,0,8,4,8,16,16
80,8,0,15,0,4,15,16,19,4,0,16,6,11,13
81,1,5,11,16,10,17,23,22,2,15,17,11,15,15
82,24,0,19,20,15,15,24,11,17,5,5,12,9,17
83,23,19,15,28,0,20,23,15,11,23,0,0,0,1
84,20,0,24,3,19,0,0,23,12,0,8,24,1,27
85,8,28,24,1,23,0,1,12,12,12,11,12,0,0
86,12,1,7,8,17,7,11,5,8,20,21,19,10,8
87,3,0,4,28,8,28,20,17,3,5,24,20,27,24
88,0,28,1,12,8,3,24,12,26,3,12,11,3,8
89,10,3,12,21,7,21,21,3,14,11,11,20,8,28
90,18,5,29,27,24,20,21,23,5,0,0,5,17,3
91,1,8,28,21,8,20,3,8,27,21,9,29,5,27
92,3,7,13,8,5,8,28,20,8,27,21,2,23,3
93,4,27,8,20,23,24,8,24,11,12,1,12,7,0
94,27,27,4,19,24,29,24,12,17,8,1,27,22,1
95,25,0,0,8,11,20,17,0,3,17,19,11,5,5
96,12,20,0,27,2,8,6,14,9,0,21,1,23,17
97,8,5,12,0,27,5,8,5,24,15,0,26,26,17
98,12,24,4,17,26,17,8,27,15,24,28,12,1,29
99,3,8,23,1,23,17,17,5,23,11,19,0,17,24
100,28,24,17,4,21,26,8,21,27,8,4,12,24,12
101,1,20,27,8,23,1,17,0,29,1,29,27,14,1
102,7,24,5,8,8,8,27,1,27,12,23,29,19,3
103,1,26,27,1,27,27,1,27,8,8,12,27,27,17
104,7,1,21,20,5,23,8,8,27,27,0,28,0,5
105,12,8,1,28,5,23,3,4,5,21,5,28,5,12
106,1,5,8,5,27,9,4,28,1,29,21,27,12,1
107,27,26,8,24,27,17,28,8,4,4,9,27,17,17
108,8,5,7,26,5,15,5,8,29,21,8,24,29,27
109,14,28,8,12,11,23,3,27,3,29,8,8,11,8
110,1,8,1,3,5,29,17,1,3,8,1,24,26,3
111,12,23,8,1,3,21,5,5,12,1,21,3,27,27
112,15,21,23,28,27,0,8,8,1,27,29,17,27,1
113,17,3,17,8,24,17,29,17,26,5,8,26,26,26
114,26,26,28,6,26,8,27,29,29,12,19,21,3,26
115,27,25,5,8,24,27,5,9,8,27,5,8,5,7
116,27,23,5,24,26,27,28,1,1,24,5,8,23,23
117,5,11,5,4,16,16,5,16,5,11,29,27,0,5
118,24,3,17,17,5,5,16,4,1,3,8,8,5,8
119,21,5,3,3,8,28,3,23,3,21,12,14,21,0
120,24,26,3,24,8,21,1,26,1,3,26,12,26,3
121,12,25,29,3,3,25,15,19,2,28,20,19,1,25
122,28,1,18,15,19,8,10,19,31,37,8,23,37,31
123,19,8,19,28,33,33,3,18,28,1,25,19,34,19
124,15,5,19,1,1,19,8,26,4,37,26,0,10,23
125,26,26,1,11,19,9,37,0,4,9,15,37,35,1
126,19,4,3,16,38,21,7,10,10,38,9,29,9,28
127,6,21,33,9,15,16,5,23,9,38,26,2,21,35
128,15,37,1,36,33,37,37,4,35,15,34,35,11,9
129,36,37,3,0,36,35,19,36,9,23,36,11,7,12
130,7,3,36,7,19,19,27,9,15,14,33,13,4,26
131,27,33,1,3,8,8,33,28,0,35,9,34,16,9
132,15,35,9,4,3,18,13,33,4,16,12,24,9,33
133,9,15,27,9,4,16,34,1,38,28,4,9,27,5
134,9,9,37,19,11,11,11,6,21,4,4,2,25,8
135,13,26,11,8,9,35,4,18,13,30,10,21,9,10
136,27,28,26,36,8,5,10,36,33,35,27,26,4,34
137,9,17,20,10,26,7,13,34,28,9,33,3,26,9
138,33,9,33,36,19,19,0,0,28,11,0,2,28,37
139,22,9,4,12,37,15,38,0,12,35,9,5,9,5
140,8,1,33,5,19,23,21,28,37,34,37,8,2,35
141,37,35,7,4,9,2,11,37,16,11,27,4,33,1
142,35,1,19,13,4,13,4,7,35,6,33,3,35,9
143,9,4,35,4,11,5,13,5,35,9,0,4,11,4
144,4,35,4,9,9,11,4,4,8,12,4,7,27,36
145,25,9,9,4,4,15,15,8,26,11,9,0,15,9
146,1,35,2,33,36,3,34,16,7,0,33,9,16,4
147,18,2,15,13,13,7,4,11,35,4,0,35,37,9
148,28,34,9,2,2,19,4,1,28,9,33,12,0,33
149,31,3,9,13,36,9,37,13,4,12,34,9,11,19
150,25,35,4,36,13,9,9,19,9,13,9,4,35,33
151,13,15,35,0,35,0,37,37,35,38,5,9,35,35
152,7,33,36,16,0,36,35,4,4,21,7,1,34,9
153,26,9,9,0,4,36,22,4,35,8,36,22,33,37
154,28,13,15,0,33,9,0,38,0,0,0,15,32,0
155,9,4,12,36,11,5,10,35,0,33,30,36,9,37
156,4,36,21,9,4,33,9,33,12,4,1,16,8,0
157,4,34,4,0,37,26,9,15,1,33,10,16,2,39
158,39,36,3,33,21,13,4,19,33,37,35,15,1,36
159,16,3,2,0,36,3,3,26,9,7,9,35,36,9
160,34,36,1,36,10,11,7,7,26,37,0,36,37,9
161,3,35,35,11,35,0,11,0,38,11,30,13,38,37
162,30,31,5,2,28,22,25,0,5,34,2,35,20,40
163,16,21,40,25,32,10,30,45,40,3,32,24,34,28
164,1,17,38,34,2,5,40,45,3,16,2,40,24,3
165,10,10,10,18,47,10,15,21,30,10,10,2,31,10
166,17,32,13,15,43,45,32,4,2,10,18,49,4,44
167,3,9,21,10,46,13,42,28,34,8,3,1,43,45
168,4,20,23,43,46,10,48,22,43,45,45,19,46,1
169,47,32,15,43,24,19,4,46,17,32,32,49,13,46
170,4,40,46,13,48,46,44,9,39,9,49,46,9,24
171,3,45,17,45,6,1,0,15,32,45,9,2,4,16
172,16,28,16,32,46,43,22,9,31,45,46,43,18,9
173,38,37,1,15,4,11,27,17,1,43,20,47,17,18
174,4,22,2,46,34,15,17,45,20,28,17,32,24,44
175,31,31,8,24,18,18,12,48,16,0,1,31,16,17
176,43,18,35,0,41,21,24,43,21,45,19,10,43,16
177,48,21,1,1,4,45,10,15,22,13,14,29,38,10
178,9,0,34,36,17,1,4,10,15,28,17,1,32,40
179,24,7,7,36,31,47,12,34,47,36,28,18,11,47
180,45,44,13,11,7,17,12,43,3,16,16,1,20,40
181,5,3,36,32,22,15,16,12,4,47,43,9,18,17
182,12,31,32,44,31,16,15,28,2,4,2,24,0,18
183,37,18,9,7,8,1,1,43,17,28,18,46,15,44
184,20,0,20,46,13,7,18,31,18,18,43,15,17,17
185,26,18,18,16,39,18,9,34,17,2,17,43,18,18
186,24,45,16,1,44,18,13,45,17,19,46,12,1,0
187,17,19,4,44,13,28,17,4,18,38,12,21,0,37
188,9,13,31,46,18,47,43,32,15,34,22,43,34,12
189,38,28,2,34,28,1,39,47,1,40,4,43,37,1
190,28,32,0,15,37,22,17,44,24,2,43,13,1,0
191,13,43,3,17,0,43,18,46,28,37,16,43,13,43
192,13,32,47,4,44,20,17,7,43,9,1,1,44,13
193,9,7,18,18,3,9,2,45,28,10,43,28,47,15
194,37,36,18,7,16,46,36,28,32,34,37,36,7,28
195,43,47,7,47,47,7,45,14,47,43,15,11,1,31
196,20,21,4,7,15,41,1,28,32,15,17,24,13,15
197,1,28,1,39,15,2,4,15,13,15,45,18,13,32
198,1,43,20,2,1,21,4,12,33,33,1,49,28,24
199,0,28,10,28,32,4,16,16,1,4,49,12,13,1
200,46,49,1,17,9,17,46,43,28,45,46,2,32,21
201,31,11,9,10,47,47,1,47,31,46,13,7,31,7
202,47,44,47,46,44,7,37,46,32,41,3,48,12,36
203,36,48,7,52,17,13,35,34,38,17,38,38,12,4
204,44,46,7,12,38,17,38,13,23,27,47,18,13,13
205,52,38,34,54,17,54,38,54,54,44,3,44,51,51
206,44,4,2,32,44,44,13,21,38,27,4,20,26,1
207,34,4,42,13,44,20,47,49,39,38,49,44,44,50
208,1,28,1,17,19,6,27,57,17,10,52,41,1,50
