,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,6,0,0,2,3,9,1,8,0,9,6,0,4,2
1,3,7,1,8,0,9,6,0,4,0,3,7,1,8
2,0,9,6,9,7,7,1,7,6,9,0,9,0,3
3,0,8,8,2,7,0,6,6,0,0,8,0,0,6
4,0,0,1,0,0,8,2,2,3,1,1,1,3,8
5,0,7,6,9,7,0,0,0,6,6,0,8,1,2
6,4,0,8,3,1,0,0,2,0,0,8,0,0,3
7,2,0,3,6,7,8,1,9,1,0,8,7,3,3
8,8,4,0,0,0,7,8,9,7,3,0,0,3,0
9,6,0,9,0,6,9,4,2,3,7,1,8,0,9
10,6,0,4,2,3,7,1,8,0,9,6,0,4,2
11,3,7,1,8,0,9,6,9,7,7,1,7,6,9
12,0,9,0,3,9,8,8,0,7,9,6,6,4,4
13,8,0,4,6,0,4,1,2,2,8,2,2,3,1
14,1,1,3,9,0,7,6,9,7,4,0,4,6,6
15,0,8,1,2,4,0,8,2,9,2,9,0,8,1
16,0,3,2,0,3,6,7,0,1,9,1,9,8,7
17,3,3,8,4,0,4,4,7,7,3,0,0,3,9
18,6,0,9,0,6,0,4,2,3,7,1,8,0,0
19,6,0,4,2,3,7,1,8,0,8,6,0,4,2
20,3,7,1,8,0,9,6,9,7,7,1,9,6,0
21,0,9,0,3,0,8,8,2,7,0,6,6,4,4
22,8,0,4,6,0,4,1,2,2,8,2,2,3,1
23,1,1,3,8,0,7,6,8,7,4,0,4,6,6
24,0,8,1,2,4,0,8,3,1,2,0,2,8,0
25,8,1,0,3,2,0,3,6,9,2,1,8,1,0
26,8,7,3,3,8,4,0,4,4,7,8,9,7,3
27,0,0,3,3,6,0,8,0,6,9,4,2,3,7
28,1,8,0,9,6,0,4,2,3,7,1,8,0,9
29,6,9,4,2,3,7,1,8,0,9,6,9,7,7
30,7,9,6,9,0,9,0,3,0,8,8,2,7,0
31,6,6,4,4,8,9,4,6,5,4,1,2,2,8
32,2,2,3,1,1,1,3,9,0,7,6,9,7,4
33,0,4,6,6,0,8,1,2,4,0,8,3,1,2
34,0,2,9,0,0,1,0,3,2,0,3,6,7,2
35,1,9,0,9,8,7,3,3,8,4,9,4,0,7
36,8,9,7,3,0,0,3,9,6,0,9,0,6,5
37,5,2,3,7,1,8,0,9,6,5,4,0,8,7
38,1,8,0,9,6,5,4,0,3,7,1,8,0,9
39,6,0,7,9,1,9,6,9,0,9,0,3,5,8
40,8,2,7,5,6,6,4,4,8,0,4,6,5,4
41,1,2,0,8,9,0,3,1,1,1,8,9,5,7
42,6,0,9,4,0,4,6,6,5,8,1,2,4,5
43,8,3,1,0,5,0,9,5,8,1,0,3,0,0
44,3,6,7,2,1,9,1,5,8,7,3,3,8,4
45,0,4,4,7,8,9,9,8,0,9,8,9,6,0
46,9,0,6,0,4,2,3,7,1,8,0,3,6,0
47,4,2,3,7,1,8,0,3,6,0,4,2,3,7
48,1,8,0,9,6,3,3,7,1,7,6,9,0,3
49,0,3,0,8,8,9,7,0,6,6,4,4,8,0
50,0,6,0,0,1,2,2,8,2,2,3,1,1,1
51,3,3,0,7,6,0,7,0,0,4,6,6,0,8
52,1,2,4,0,8,3,1,2,0,2,3,0,8,1
53,0,3,2,0,8,6,7,2,1,3,1,0,8,7
54,3,8,8,4,0,4,4,7,8,3,7,3,0,0
55,8,3,6,0,8,0,6,0,4,2,3,7,1,8
56,0,9,6,0,4,2,3,7,6,8,0,9,6,0
57,4,2,3,7,1,8,0,9,6,9,7,7,1,7
58,6,9,9,9,0,3,0,8,8,0,7,0,6,6
59,4,4,8,0,4,6,5,4,1,0,2,8,2,0
60,3,1,1,1,3,9,0,7,6,9,7,4,0,4
61,6,6,0,8,1,0,0,0,8,3,1,2,0,2
62,9,0,8,1,0,3,0,0,3,6,7,0,1,9
63,1,0,8,7,3,3,8,4,0,0,4,7,8,9
64,7,3,0,9,3,9,6,0,9,9,5,4,2,3
65,7,1,8,0,9,6,5,4,2,3,9,1,8,0
66,9,6,5,4,2,3,9,1,8,0,9,6,9,9
67,7,1,9,6,9,0,9,0,3,5,8,8,2,9
68,5,4,8,0,4,6,5,4,1,2,2,8,2,2
69,3,1,1,1,3,9,5,7,6,9,7,4,0,4
70,6,6,5,8,1,2,4,5,3,1,2,5,2,9
71,5,8,1,9,3,2,5,3,6,7,2,1,9,1
72,5,8,9,3,3,8,4,0,4,4,9,8,9,9
73,8,3,9,6,0,9,0,6,0,4,2,3,7,1
74,8,8,2,6,0,4,2,3,7,1,8,0,9,6
75,0,4,0,3,7,1,8,0,9,6,9,7,7,1
76,7,6,9,0,9,0,3,0,8,8,2,7,0,6
77,6,8,0,4,6,0,4,1,2,2,8,2,2,3
78,1,1,1,8,9,0,7,6,0,7,4,0,2,6
79,6,0,8,1,2,4,0,8,3,1,2,0,8,9
80,0,8,1,0,3,2,0,3,6,7,2,1,0,1
81,0,8,7,3,3,8,4,0,4,4,7,8,0,7
82,3,4,2,3,9,6,0,0,0,6,0,4,2,3
83,7,1,8,2,9,6,0,4,0,3,7,1,8,0
84,9,6,0,4,2,3,7,1,8,0,9,6,9,7
85,7,1,7,6,9,0,9,0,3,0,8,8,8,7
86,0,6,6,4,4,8,0,4,6,0,4,1,2,0
87,8,0,2,3,1,1,1,3,9,0,7,6,9,7
88,4,0,4,6,6,0,8,1,2,4,0,8,3,1
89,0,0,2,9,0,8,1,0,3,0,0,3,6,7
90,2,1,9,1,7,8,7,3,3,8,4,4,4,4
91,7,8,9,7,3,0,0,3,9,6,0,9,0,6
92,0,4,2,3,7,1,8,0,9,6,0,5,2,3
93,7,1,8,0,9,6,0,4,2,3,7,1,8,0
94,9,6,9,7,7,1,7,6,9,0,9,0,3,0
95,8,8,2,7,0,6,6,2,9,8,0,4,6,0
96,2,1,0,2,8,2,2,3,1,1,1,3,9,0
97,7,6,9,1,4,0,2,6,6,0,8,1,2,4
98,0,8,3,1,0,0,2,9,0,8,1,0,3,2
99,0,3,6,7,2,1,9,1,0,8,7,3,3,8
100,4,0,4,4,1,8,9,7,3,0,0,3,9,6
101,0,6,0,4,2,3,7,1,8,9,9,6,0,4
102,2,3,7,1,8,9,9,6,0,4,2,3,9,1
103,8,9,9,6,9,9,7,1,7,6,9,0,9,9
104,3,9,8,8,0,7,9,6,6,4,4,8,0,4
105,6,9,4,1,2,2,8,2,2,3,1,1,1,3
106,9,9,7,6,9,7,4,9,4,6,6,9,8,1
107,2,4,0,8,3,1,2,0,0,9,0,8,1,0
108,3,2,9,3,6,7,0,1,9,1,9,8,9,3
109,3,8,4,9,4,4,7,8,9,7,3,0,0,3
110,9,6,0,9,0,6,0,4,0,3,7,1,8,0
111,9,6,0,4,0,3,7,1,9,6,0,4,0,3
112,7,1,8,0,9,3,9,7,7,1,7,6,8,0
113,0,0,3,0,8,8,0,7,0,6,6,6,4,8
114,0,2,6,0,4,1,0,8,8,0,0,3,1,1
115,1,8,9,0,7,6,9,0,2,0,6,0,8,1
116,0,4,0,8,8,1,0,0,0,8,0,8,1,0
117,3,0,0,3,6,7,0,1,9,1,0,8,7,3
118,3,8,4,2,7,8,0,7,8,3,7,6,0,8
119,0,6,0,4,0,3,7,1,8,0,9,6,0,4
120,0,3,7,1,8,0,9,6,0,4,7,3,7,1
121,8,0,9,6,9,7,7,1,7,6,9,0,9,0
122,3,0,8,8,8,7,0,6,6,4,4,8,0,4
123,6,0,4,1,0,0,8,9,0,3,1,1,1,3
124,9,0,7,6,9,7,4,0,4,6,6,0,8,1
