,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,5,5,9,6,1,4,8,1,1,0,3,2,9
1,6,7,4,8,5,1,0,3,2,9,6,7,4,3
2,5,1,0,1,7,7,4,7,0,1,5,1,5,6
3,3,8,8,9,7,3,0,0,5,5,8,5,3,0
4,3,5,4,9,9,8,9,9,6,4,4,4,6,8
5,3,7,0,1,7,3,5,3,0,0,3,8,4,9
6,2,5,8,6,4,9,3,9,9,5,8,5,5,6
7,9,5,6,0,7,8,4,1,4,3,8,7,6,6
8,8,2,5,5,5,7,8,1,7,6,5,5,6,1
9,0,5,1,5,0,3,2,9,6,7,4,8,5,1
10,0,3,2,9,6,7,4,8,5,1,0,3,2,9
11,6,7,4,8,5,1,0,9,7,7,4,7,0,1
12,5,1,5,6,3,8,8,9,7,3,0,0,2,2
13,8,5,2,0,3,2,4,9,9,8,9,9,6,4
14,4,4,5,1,3,7,0,1,7,2,5,2,0,0
15,3,8,4,9,2,3,8,9,3,9,1,3,8,4
16,5,6,9,3,6,0,7,9,4,1,4,3,8,7
17,5,6,8,2,5,2,2,7,7,6,5,5,6,1
18,0,5,1,5,0,5,2,9,6,1,4,8,1,7
19,0,5,2,9,6,7,4,8,5,8,0,5,2,9
20,6,7,4,8,5,1,0,1,7,1,4,1,0,1
21,5,1,5,6,5,8,8,9,7,5,0,0,2,2
22,8,1,2,0,3,2,4,9,9,8,9,9,6,4
23,4,4,6,8,5,7,0,8,7,2,1,2,0,0
24,5,8,4,9,2,5,8,6,4,9,5,9,8,5
25,8,4,5,6,9,5,6,0,1,9,4,8,4,5
26,8,7,6,6,8,2,1,2,2,1,8,3,7,6
27,1,1,6,3,0,5,8,9,0,3,2,9,6,7
28,4,8,1,1,0,3,2,9,6,7,4,8,5,1
29,0,3,2,9,6,7,4,8,1,1,0,1,9,7
30,4,9,0,1,1,1,1,6,3,3,8,9,7,3
31,0,0,2,2,8,1,2,0,2,2,4,9,1,3
32,1,1,6,4,4,4,6,1,3,1,0,1,7,2
33,5,2,0,0,3,3,4,9,2,3,8,6,4,9
34,3,9,1,3,3,4,1,6,9,3,6,0,7,9
35,4,1,5,3,8,7,3,6,3,2,1,2,5,7
36,8,1,7,6,5,5,6,1,0,1,1,1,0,2
37,2,1,6,7,4,8,5,1,0,2,2,1,8,1
38,4,8,5,1,0,2,2,1,6,1,4,8,5,1
39,0,5,7,1,4,1,0,1,5,1,5,6,2,8
40,8,9,1,4,0,0,2,2,8,4,2,0,2,2
41,4,1,9,8,1,1,6,4,4,4,6,1,4,7
